"","X","Date","open","high","low","close","volume","Open","High","Low","Close","Volume","macd","rsi","ulti","volatility","roc","dema","atr","cci","obv","wr"
"50",50,"2017-03-15",9086.85,9106.25,9075.6,9082.6,177777300,9091.65,9120.6,9060.7,9073.35,262106089,1.13240927572367,74.3023202393666,60.7575016299938,0.101601106197851,0.0151583673355233,8997.09732842823,183.75,216.463385767877,3760859877,0.181521321552055
"51",51,"2017-03-16",9129.65,9158.1,9129.4,9157.3,181467234,9086.85,9106.25,9075.6,9082.6,177777300,1.18037441060919,74.7642326609426,56.9546316641507,0.0970526924889384,0.00101894979886197,9033.04901893927,32.8999999999996,197.787533246825,3938637177,0.145985401459853
"52",52,"2017-03-17",9207.8,9214.1,9148.2,9152.15,263620104,9129.65,9158.1,9129.4,9157.3,181467234,1.27042231086307,78.175892840187,59.2410589440508,0.0920191152305477,0.00819088017346736,9083.44811691973,75.5,232.285770739245,4120104411,0.00268636668905671
"53",53,"2017-03-20",9166.95,9166.95,9116.35,9129.55,144806851,9207.8,9214.1,9148.2,9152.15,263620104,1.32116260204524,77.3990092222503,56.2442755271457,0.0935769542158003,-0.000562551047226023,9117.92526128948,65.8999999999996,210.550649010175,3856484307,0.175098925946864
"54",54,"2017-03-21",9133.95,9147.6,9087.25,9126.1,196522026,9166.95,9166.95,9116.35,9129.55,144806851,1.32530738014143,73.9270670455969,55.259072850842,0.0949110418853746,-0.00247241903242568,9134.66532450263,50.6000000000004,142.991135039362,3711677456,0.23897682306388
"55",55,"2017-03-22",9047.2,9072.7,9019.4,9027.65,197083310,9133.95,9147.6,9087.25,9126.1,196522026,1.3100549567387,73.385883048434,56.3388127271674,0.0930855595913725,-0.000377965182403628,9144.56188501713,60.3500000000004,107.407564488628,3515155430,0.248728094968908
"56",56,"2017-03-23",9048.75,9098.85,9048.6,9081.8,177041124,9047.2,9072.7,9019.4,9027.65,197083310,1.19607006140157,59.9083568092581,49.4432482553477,0.115220167036427,-0.0108463502211329,9118.03109048495,106.700000000001,38.6505060053677,3318072120,0.526992651215376
"57",57,"2017-03-24",9104,9133.55,9089.6,9100.4,170006185,9048.75,9098.85,9048.6,9081.8,177041124,1.1409389863881,63.8417918794434,47.9435470587731,0.117721660593173,0.0059803209248237,9115.18382834407,71.2000000000007,58.9564275718525,3495113244,0.373940079140759
"58",58,"2017-03-27",9093.45,9094.6,9024.65,9052.9,170512656,9104,9133.55,9089.6,9100.4,170006185,1.10105831124117,65.1081070985575,47.2851762725754,0.117599541126895,0.00204595774859051,9118.32297258549,51.75,73.725756315672,3665119429,0.353270156905393
"59",59,"2017-03-28",9081.5,9110.15,9079.9,9108.3,160913002,9093.45,9094.6,9024.65,9052.9,170512656,1.01530621313572,59.3880622955521,40.542014313771,0.0917673609273366,-0.00523322023050454,9104.12940889304,75.75,32.7001738024499,3494606773,0.500854435295947
"60",60,"2017-03-29",9128.7,9152.35,9109.25,9145.05,198874216,9081.5,9110.15,9079.9,9108.3,160913002,0.985356374476209,63.4241419020756,48.4414444153301,0.097911981878554,0.00610093736524675,9111.24844778015,57.25,58.0131888759528,3655519775,0.328724561130965
"61",61,"2017-03-30",9142.6,9181.1,9137.65,9158.95,317725897,9128.7,9152.35,9109.25,9145.05,198874216,0.982890468155428,65.8487673443173,52.4971791773885,0.0891943391833824,0.00402666356098003,9128.06537636473,44.0500000000011,79.1406573065812,3854393991,0.220184948979595
"62",62,"2017-03-31",9158.9,9191.15,9152.15,9170.7,214229991,9142.6,9181.1,9137.65,9158.95,317725897,0.981790168513008,66.7466662970112,51.0303271468809,0.0895812077752878,0.00151879399824928,9144.47950619856,43.4500000000007,90.6083621205027,4172119888,0.17790322580645
"63",63,"2017-04-03",9220.6,9244.6,9192.65,9243,156047484,9158.9,9191.15,9152.15,9170.7,214229991,0.979865765261456,67.5239717973735,57.7837843486896,0.0883657362965197,0.00128207593810892,9159.83013836174,39,94.358866883232,4386349879,0.222907036466356
"64",64,"2017-04-05",9264.4,9273.8,9215.55,9256.9,199844778,9220.6,9244.6,9192.65,9243,156047484,1.03030920229816,71.8797073122309,60.0596044127392,0.0964162184893406,0.00785288904983794,9194.36634209538,73.8999999999996,135.381149298639,4542397363,0.00710479573712415
"65",65,"2017-04-06",9245.8,9267.6,9219.05,9256.65,198633200,9264.4,9273.8,9215.55,9256.9,199844778,1.06982617733811,72.6394807609837,63.3653737222861,0.062130430797387,0.00150271110824285,9223.68838452549,58.25,144.482939416682,4742242141,0.0664308176100616
"66",66,"2017-04-07",9223.7,9250.45,9188.7,9196.9,210169766,9245.8,9267.6,9219.05,9256.65,198633200,1.08800569708958,72.6014863531972,67.1871261614428,0.0604612394484771,-2.70072460466508e-05,9244.33244980431,48.5500000000011,132.686668678755,4543608941,0.0674135220125773
"67",67,"2017-04-10",9225.6,9225.6,9174.85,9176.8,152634901,9223.7,9250.45,9188.7,9196.9,210169766,1.0375539611934,63.9871417006132,58.7412024440342,0.0761172718978095,-0.00647574139418516,9238.80715631974,67.9499999999989,92.9790458037411,4333439175,0.302279874213835
"68",68,"2017-04-11",9184.55,9242.55,9174.45,9233.8,183191395,9225.6,9225.6,9174.85,9176.8,152634901,0.968639526437598,61.3499961368391,52.5280508852068,0.0692377622829537,-0.00218791076573055,9227.07841749719,50.75,67.3720427170739,4180804274,0.381289308176101
"69",69,"2017-04-12",9242.5,9246.25,9161.95,9201.05,168594630,9184.55,9242.55,9174.45,9233.8,183191395,0.953180658533359,65.670835379086,56.9139488770464,0.0694356604510144,0.00619210477932874,9236.40782646731,68.0999999999985,88.8651974434469,4363995669,0.157232704402516
"70",70,"2017-04-13",9202.5,9202.5,9145,9147.3,188265490,9242.5,9246.25,9161.95,9201.05,168594630,0.901617074491345,61.4220572081899,57.4047606808536,0.0724313683434926,-0.00355305678685447,9231.74047787813,84.2999999999993,64.2366291786357,4195401039,0.291992775436484
"71",71,"2017-04-17",9144.75,9159.85,9120.35,9139.35,140437684,9202.5,9202.5,9145,9147.3,188265490,0.804178394796806,55.1190853750187,48.0738446099664,0.0800978678896075,-0.00585885420242782,9209.83289814892,57.5,10.9863148138069,4007135549,0.507726269315674
"72",72,"2017-04-18",9163,9217.8,9095.75,9100.45,179235345,9144.75,9159.85,9120.35,9139.35,140437684,0.711770929359923,54.2326337356926,46.2255632969137,0.0796889153267333,-0.000869486811510001,9190.47219111865,39.5,-22.4181262416265,3866697865,0.539634758177801
"73",73,"2017-04-19",9112.2,9120.3,9075.3,9114.05,179914596,9163,9217.8,9095.75,9100.45,179235345,0.597394371228188,49.9956893633405,36.650353020106,0.0640890517459168,-0.00426540411383947,9162.96222389612,122.049999999999,-22.5773172755592,3687462520,0.894017534811753
"74",74,"2017-04-20",9108.1,9143.65,9106.3,9136.1,168088011,9112.2,9120.3,9075.3,9114.05,179914596,0.512829299190343,51.4245276823532,41.0016330961491,0.064073682663344,0.00149331604241887,9146.97580868447,45,-64.8178251728529,3867377116,0.804785894206549
"75",75,"2017-04-21",9179.1,9183.2,9088.95,9119.3,164369633,9108.1,9143.65,9106.3,9136.1,168088011,0.459966904982334,53.7328819494678,45.0694731365649,0.0674393818052425,0.00241641967099682,9142.47495854496,37.3500000000004,-32.5083860534712,4035465127,0.693702770780851
"76",76,"2017-04-24",9135.35,9225.05,9130.75,9217.7,172036102,9179.1,9183.2,9088.95,9119.3,164369633,0.398657637987032,51.7163787826527,39.6432230021911,0.0604691449350182,-0.00184055180852738,9133.69753130958,94.25,-39.6137699412216,3871095494,0.778337531486146
"77",77,"2017-04-25",9273.05,9308.85,9250.85,9303.75,186372847,9135.35,9225.05,9130.75,9217.7,172036102,0.431902418137953,60.9582265587837,47.4112907734196,0.0862111799181454,0.0107325019935978,9159.87470708393,105.75,41.767725804511,4043131596,0.282619647355156
"78",78,"2017-04-26",9336.2,9366.7,9302.75,9344.1,208587223,9273.05,9308.85,9250.85,9303.75,186372847,0.527792282409245,66.9210407143828,54.8872015256924,0.0941173519505375,0.00929199594387953,9207.75613195489,91.1499999999996,162.525296928123,4229504443,0.0218368657675031
"79",79,"2017-04-27",9359.15,9367.05,9322.95,9328.7,224683429,9336.2,9366.7,9302.75,9344.1,208587223,0.631576459428485,69.2896015092299,55.7739932071019,0.091665947268077,0.00432758339141692,9256.32118060554,63.9500000000007,202.701146533849,4438091666,0.0775566231983536
"80",80,"2017-04-28",9340.95,9341.5,9282.5,9304.65,166988869,9359.15,9367.05,9322.95,9328.7,224683429,0.691955139321077,67.3086872222378,60.0638135745648,0.082719212588256,-0.00164945840919195,9286.64253778141,44.0999999999985,176.568577657111,4213408237,0.131448157669232
"81",81,"2017-05-02",9339.85,9352.55,9270,9317.3,154902678,9340.95,9341.5,9282.5,9304.65,166988869,0.710329794177178,64.2208614296453,57.7537964186984,0.0852447561271776,-0.00258139447334749,9300.38022191463,59,121.573741596253,4046419368,0.213881748071978
"82",82,"2017-05-03",9344.7,9344.75,9298.55,9304,148762869,9339.85,9352.55,9270,9317.3,154902678,0.727406800644115,65.1270742127237,57.5631864956445,0.076766330725652,0.00135861195479769,9313.89949073391,82.5499999999993,110.538543619271,4201322046,0.170522707797772
"83",83,"2017-05-04",9360.95,9365.5,9323.45,9356.75,277837257,9344.7,9344.75,9298.55,9304,148762869,0.72088807780224,63.3114402578975,56.6430200540522,0.0797057803054089,-0.00142847193929541,9318.6652990928,46.2000000000007,99.5093670528621,4052559177,0.216109682947727
"84",84,"2017-05-05",9374.55,9374.55,9272.05,9277.6,218842893,9360.95,9365.5,9323.45,9356.75,277837257,0.752904309078817,67.2152939129557,55.6162952466786,0.0817431600895172,0.00565359275532273,9338.80884686717,61.5,115.593461538774,4330396434,0.0353041988003403
"85",85,"2017-05-08",9311.45,9338.6,9298.25,9310.75,154994968,9374.55,9374.55,9272.05,9277.6,218842893,0.701136069785235,57.3538873704854,43.708980584065,0.0995203631380285,-0.00849511531132841,9326.72117729903,102.5,70.4342586644712,4111553541,0.323976608187131
"86",86,"2017-05-09",9337.35,9337.75,9307.75,9317.3,134520942,9311.45,9338.6,9298.25,9310.75,154994968,0.681097492600791,60.0007986127463,43.0065959856321,0.0853195529467398,0.00356675392315964,9327.96426866915,61,70.8169927855749,4266548509,0.213199665831242
"87",87,"2017-05-10",9339.65,9414.4,9336.65,9412.45,149758266,9337.35,9337.75,9307.75,9317.3,134520942,0.663217325600574,60.5221800223504,45.7761879282851,0.0696136828327669,0.000703240572141439,9330.3926432667,30,67.6795019760106,4401069451,0.191311612364244
"88",88,"2017-05-11",9448.6,9450.3,9411.6,9412.4,169070256,9339.65,9414.4,9336.65,9412.45,149758266,0.723278428579799,67.2088903653161,53.6172976962859,0.0860716798180066,0.0101603938712511,9363.03998020335,97.1000000000004,110.080642879,4550827717,0.0059917037947424
"89",89,"2017-05-12",9436.65,9436.85,9372.6,9408.55,151328654,9448.6,9450.3,9411.6,9412.4,169070256,0.761768474138647,67.2024488159081,49.3738550158271,0.0849918103341723,-5.31212732113318e-06,9386.51166922034,38.6999999999989,123.866801865136,4381757461,0.104884461048844
