"","X.1","X","Date","open","high","low","close","volume","Open","High","Low","Close","Volume","macd","rsi","ulti","volatility","roc","dema","atr","cci","obv","wr"
"42",46,46,"2017-03-08",8950.7,8956.8,1,8923.85,193457469,8977.75,8977.75,1,8944.95,171612164,1.24776221167346,67.5588642311707,99.6120202265867,0.0752644963609293,-0.00197123623447304,8955.38226814252,8976.75,93.0617703429244,3379369306,0.00527173338820084
"43",47,47,"2017-03-09",8914.5,8945.35,1,8927.8,168587379,8950.7,8956.8,1,8923.85,193457469,1.18071627807697,64.6761501267822,99.6420050509227,0.075022644396947,-0.00236165940712141,8952.31094804112,8955.8,65.6680266196702,3185911837,0.00761843327197807
"44",48,48,"2017-03-10",8953.7,8975.3,1,8936.85,144254572,8914.5,8945.35,1,8927.8,168587379,1.11820974937766,64.9774275575941,99.6604523479324,0.07468773925977,0.000442536131332716,8950.61986770742,8944.35,57.115863239627,3354499216,0.00717912215629478
"45",49,49,"2017-03-14",9091.65,9120.6,1,9073.35,262106089,8953.7,8975.3,1,8936.85,144254572,1.06454478615849,65.6992629757212,99.6493126379689,0.0687562253533531,0.00101317414829616,8951.72518193998,8974.3,74.5418075153513,3498753788,0.00617259922036179
"46",50,50,"2017-03-15",9086.85,9106.25,1,9082.6,177777300,9091.65,9120.6,1,9073.35,262106089,1.13240927572367,74.3023202393666,99.6877738038911,0.101601106197851,0.0151583673355233,8997.09732842823,9119.6,214.567481990592,3760859877,0.00518114829597789
"47",51,51,"2017-03-16",9129.65,9158.1,1,9157.3,181467234,9086.85,9106.25,1,9082.6,177777300,1.18037441060919,74.7642326609426,99.660959577381,0.0970526924889384,0.00101894979886197,9033.04901893927,9105.25,190.000996661184,3938637177,0.00416684942322032
"48",52,52,"2017-03-17",9207.8,9214.1,1,9152.15,263620104,9129.65,9158.1,1,9157.3,181467234,1.27042231086307,78.175892840187,99.6743577041412,0.0920191152305477,0.00819088017346736,9083.44811691973,9157.1,230.917142059279,4120104411,8.7363903419324e-05
"49",53,53,"2017-03-20",9166.95,9166.95,1,9129.55,144806851,9207.8,9214.1,1,9152.15,263620104,1.32116260204524,77.3990092222503,99.6412127463534,0.0935769542158003,-0.000562551047226023,9117.92526128948,9213.1,214.051956326562,3856484307,0.00672412108845022
"50",54,54,"2017-03-21",9133.95,9147.6,1,9126.1,196522026,9166.95,9166.95,1,9129.55,144806851,1.32530738014143,73.9270670455969,99.6410259365967,0.0949110418853746,-0.00247241903242568,9134.66532450263,9165.95,143.700457906207,3711677456,0.00917714992782029
"51",55,55,"2017-03-22",9047.2,9072.7,1,9027.65,197083310,9133.95,9147.6,1,9126.1,196522026,1.3100549567387,73.385883048434,99.6433898283954,0.0930855595913725,-0.000377965182403628,9144.56188501713,9146.6,111.60278633325,3515155430,0.0095516167196709
"52",56,56,"2017-03-23",9048.75,9098.85,1,9081.8,177041124,9047.2,9072.7,1,9027.65,197083310,1.19607006140157,59.9083568092581,99.5678910420581,0.115220167036427,-0.0108463502211329,9118.03109048495,9125.1,37.4837145427287,3318072120,0.0202374879248028
"53",57,57,"2017-03-24",9104,9133.55,1,9100.4,170006185,9048.75,9098.85,1,9081.8,177041124,1.1409389863881,63.8417918794434,99.614255977731,0.117721660593173,0.0059803209248237,9115.18382834407,9097.85,60.5654960673493,3495113244,0.0143599874092326
"54",58,58,"2017-03-27",9093.45,9094.6,1,9052.9,170512656,9104,9133.55,1,9100.4,170006185,1.10105831124117,65.1081070985575,99.5994101196093,0.117599541126895,0.00204595774859051,9118.32297258549,9132.55,72.2380400409609,3665119429,0.0123411229662112
"55",59,59,"2017-03-28",9081.5,9110.15,1,9108.3,160913002,9093.45,9094.6,1,9052.9,170512656,1.01530621313572,59.3880622955521,99.546830552403,0.0917673609273366,-0.00523322023050454,9104.12940889304,9099.4,35.7216795588407,3494606773,0.0174968251728518
"56",60,60,"2017-03-29",9128.7,9152.35,1,9145.05,198874216,9081.5,9110.15,1,9108.3,160913002,0.985356374476209,63.4241419020756,99.6091813914424,0.097911981878554,0.00610093736524675,9111.24844778015,9109.15,56.6687004740246,3655519775,0.0114836482834226
