"","Date","open","high","low","close","volume"
"262",2018-01-19,10829.2,10906.5,10794.05,10900.05,182135551
"263",2018-01-22,10883.2,10974.8,10883.2,10958.75,211532485
"264",2018-01-23,10997.4,11092.5,10997.1,11083.55,276943877
"265",2018-01-24,11069.35,11109.6,11046.25,11084.65,270413381
"266",2018-01-25,11095.6,11095.6,11009.3,11064.55,326089755
"267",2018-01-29,11079.35,11171.3,11078.8,11124.7,218803196
"268",2018-01-30,11120.85,11120.85,11034.35,11049.45,240487268
"269",2018-01-31,11018.8,11058.15,10979.4,11030.7,261071041
"270",2018-02-01,11044.55,11117,10879.35,11020.6,303024818
"271",2018-02-02,10938.2,10954.8,10736.25,10737.5,286289000
"272",2018-02-05,10604.3,10702.4,10588.3,10690.75,233209931
"273",2018-02-06,10295.15,10593.7,10282,10520.35,261471253
"274",2018-02-07,10607.2,10612.15,10446.55,10459.5,231356655
"275",2018-02-08,10518.5,10637.65,10480.05,10579.3,220734585
"276",2018-02-09,10416.5,10480,10398.35,10466.8,170629740
"277",2018-02-12,10518.2,10555.3,10485.7,10535.1,204824590
"278",2018-02-14,10585.75,10588.8,10457.7,10459.8,218435165
"279",2018-02-15,10537.9,10617.85,10511.8,10549.7,193979038
"280",2018-02-16,10596.2,10612.4,10434.85,10451.85,166248238
"281",2018-02-19,10488.9,10488.9,10303.3,10387.95,178818666
"282",2018-02-20,10391,10428.65,10348.2,10357.65,171443839
"283",2018-02-21,10426,10426,10349.8,10395.15,221032640
"284",2018-02-22,10354.35,10397.45,10341.6,10377.8,301792686
"285",2018-02-23,10408.1,10499,10397.25,10492.55,198305320
"286",2018-02-26,10526.55,10592.7,10520.45,10576.7,154858671
"287",2018-02-27,10615.2,10631.25,10537.5,10551.05,169071278
"288",2018-02-28,10488.95,10535.15,10461.55,10487.95,244001191
"289",2018-03-01,10479.95,10525.3,10448.6,10449.95,167741336
"290",2018-03-05,10428.3,10428.3,10324.2,10357.3,189101514
"291",2018-03-06,10420.5,10441.15,10217.15,10223.6,208723559
"292",2018-03-07,10232.95,10243.2,10141.55,10163.55,236050625
"293",2018-03-08,10216.25,10269.9,10146.65,10236.35,202021195
"294",2018-03-09,10271.3,10296.7,10212.05,10229.8,173687393
"295",2018-03-12,10301.6,10433.15,10299.3,10423.55,208632287
"296",2018-03-13,10389.5,10478.6,10377.9,10425.2,306896971
"297",2018-03-14,10393.05,10419.9,10336.65,10415.65,180400192
"298",2018-03-15,10405.45,10419.9,10346.25,10352.25,163437977
"299",2018-03-16,10345.15,10345.15,10180.85,10220.05,311996395
"300",2018-03-19,10215.35,10224.1,10076.7,10093.95,197606720
"301",2018-03-20,10051.55,10155,10050.8,10138.2,187773199
"302",2018-03-21,10181.95,10227.25,10133.1,10154.95,190005698
"303",2018-03-22,10167.5,10207.85,10105.75,10106.65,205699009
"304",2018-03-23,9968.8,10027,9952.1,9986.8,269174747
"305",2018-03-26,9989.15,10142.35,9958.8,10140.8,237975350
"306",2018-03-27,10188,10207.6,10139.95,10183.55,202285480
"307",2018-03-28,10143.6,10157.75,10097.8,10121.25,318434037
"308",2018-04-02,10151.65,10219.65,10128,10217,219026335
"309",2018-04-03,10186.85,10254.8,10171.35,10244.4,193525779
"310",2018-04-04,10274.6,10279.8,10111.55,10119.9,214594342
"311",2018-04-05,10228.45,10331.75,10228.45,10327.65,220008760
"312",2018-04-06,10322.75,10350.35,10290.9,10320.95,180646319
"313",2018-04-09,10333.7,10397.45,10331,10373.35,198813291
"314",2018-04-10,10412.9,10424.65,10381.7,10401.35,240304772
"315",2018-04-11,10428.15,10428.15,10355.9,10414.05,218874058
"316",2018-04-12,10410.65,10469.85,10395.7,10454.15,222570602
"317",2018-04-13,10495.3,10519.8,10451.65,10483.7,206689959
"318",2018-04-16,10398.3,10538.35,10398.3,10530.7,189550753
"319",2018-04-17,10557.3,10560.25,10495.8,10547.55,190690411
"320",2018-04-18,10578.9,10593.2,10509.75,10536.65,183538947
"321",2018-04-19,10563.65,10572.15,10546.4,10568.1,225508612
"322",2018-04-20,10560.35,10581.4,10527.5,10579.85,230590276
"323",2018-04-23,10592.8,10638.05,10551.65,10582.8,190141581
"324",2018-04-24,10578.1,10636.7,10569.3,10620.35,188640926
"325",2018-04-25,10612.4,10612.4,10536.75,10564.55,176513741
"326",2018-04-26,10586.5,10628.2,10559.8,10615.55,269320211
"327",2018-04-27,10651.65,10719.5,10651.65,10694.7,246004404
"328",2018-04-30,10705.75,10758.9,10705.75,10740.9,142788264
"329",2018-05-02,10783.85,10783.85,10690.05,10716.8,209747342
"330",2018-05-03,10720.15,10720.15,10647.55,10669.8,164714919
"331",2018-05-04,10700.45,10700.45,10601.7,10614.85,162127888
"332",2018-05-07,10653.15,10723.65,10635.7,10722.75,155527634
"333",2018-05-08,10757.9,10757.9,10689.45,10714.3,247827681
"334",2018-05-09,10693.35,10766.2,10691.6,10748.55,191715705
"335",2018-05-10,10779.65,10785.15,10705.45,10710.35,176119527
"336",2018-05-11,10741.95,10811.7,10724.65,10798.55,182103420
"337",2018-05-14,10815.15,10834.55,10774.9,10797.1,158858691
"338",2018-05-15,10812.6,10928.95,10781.5,10804.05,233833460
"339",2018-05-16,10751.95,10790.15,10699.95,10742.75,216265875
"340",2018-05-17,10775.6,10775.6,10665.05,10677.6,211819797
"341",2018-05-18,10671.85,10672,10589.35,10604.45,213025745
"342",2018-05-21,10616.7,10620.6,10505.9,10520.35,181634290
"343",2018-05-22,10518.45,10558.6,10490.75,10543.25,226625696
"344",2018-05-23,10521.1,10533.3,10417.95,10428.55,263592587
"345",2018-05-24,10464.85,10534.7,10420.25,10533.35,270755432
"346",2018-05-25,10533.05,10628,10524.7,10611.2,232614898
"347",2018-05-28,10648.35,10709.5,10641.25,10683.1,210615208
"348",2018-05-29,10689.4,10716.75,10616.15,10630.95,189579528
"349",2018-05-30,10579,10648.55,10558.7,10616.7,216402001
"350",2018-05-31,10670.1,10763.55,10620.7,10731.9,568011216
"351",2018-06-01,10738.45,10764.65,10681.7,10686.45,198441776
"352",2018-06-04,10765.95,10769.05,10618.85,10624.55,177628395
"353",2018-06-05,10630.7,10631.6,10551,10605.75,146682185
"354",2018-06-06,10603.45,10697.8,10587.8,10687.85,160092671
"355",2018-06-07,10722.6,10817.5,10722.6,10762.2,186545587
"356",2018-06-08,10736.4,10779.3,10709.05,10759.35,195291958
"357",2018-06-11,10781.85,10850.35,10777.35,10781.95,184704579
"358",2018-06-12,10816.15,10856.35,10789.4,10852.35,181392581
"359",2018-06-13,10887.5,10893.05,10842.7,10855.05,186895922
"360",2018-06-14,10832.9,10832.9,10774.05,10810.1,167242571
"361",2018-06-15,10808.65,10833.9,10755.45,10815.85,294428662
"362",2018-06-18,10830.2,10830.2,10787.4,10795.05,173219111
"363",2018-06-19,10789.45,10789.45,10701.55,10711.3,195926133
"364",2018-06-20,10734.65,10781.3,10724.2,10773.3,173156856
"365",2018-06-21,10808.45,10808.95,10726.05,10741.95,194337208
"366",2018-06-22,10742.7,10836.95,10710.6,10824.35,207244083
"367",2018-06-25,10822.9,10830.7,10753.25,10758.25,183666852
"368",2018-06-26,10742.7,10805.1,10733.05,10764.05,202217725
"369",2018-06-27,10785.5,10785.5,10652.6,10667.45,221728650
"370",2018-06-28,10660.8,10674,10558.25,10593.9,323593030
"371",2018-06-29,10612.85,10721.95,10612.85,10711.4,221447320
"372",2018-07-02,10732.35,10735.65,10605.3,10651.75,275377496
"373",2018-07-03,10668.6,10713.2,10630.3,10707.85,187332899
"374",2018-07-04,10715,10777.05,10678.4,10771.65,155182352
"375",2018-07-05,10786.05,10786.05,10729.9,10753.4,196181966
"376",2018-07-06,10744.15,10816.15,10736,10770,217635695
"377",2018-07-09,10838.3,10860.15,10807.35,10851.05,156982128
"378",2018-07-10,10902.75,10956.65,10877,10947.1,174790852
